"tick","time","<0.5","0.5-1.0","1.0-1.5","1.5-2.0","2.0-2.5","2.5-3.0","3.0-3.5","3.5-4.0","4.0-4.5","4.5-5.0","5.0-5.5","5.5-6.0","6.0-6.5","6.5-7.0"
233,"05:00 AM",-0.00657894736842105,0.00510204081632653,0,0.0223463687150838,0.00505050505050505,0.00735294117647059,-0.010752688172043,-0.0248447204968944,0.0114942528735632,0,0.0140845070422535,0,0,0
234,"05:01 AM",-0.00657894736842105,0.00510204081632653,0,0.0223463687150838,0.00505050505050505,0.00735294117647059,0,-0.0248447204968944,0,0.0128205128205128,0.0140845070422535,0,0,0
235,"05:02 AM",-0.0197368421052632,0.00510204081632653,-0.00645161290322581,0.0223463687150838,0,0.00735294117647059,0,-0.0248447204968944,-0.0114942528735632,0.0128205128205128,0.0140845070422535,0,0,0
236,"05:03 AM",-0.0263157894736842,0.00510204081632653,-0.00645161290322581,0.0167597765363128,0.00505050505050505,0.00735294117647059,0.00537634408602151,-0.0248447204968944,-0.0229885057471264,0.0128205128205128,0.0140845070422535,0,0,0
237,"05:04 AM",-0.0197368421052632,0.0102040816326531,-0.00645161290322581,0.0167597765363128,0,0.00735294117647059,0.00537634408602151,-0.0248447204968944,-0.0114942528735632,0.0128205128205128,0.0140845070422535,0,0,0
238,"05:05 AM",-0.0197368421052632,0.0102040816326531,-0.00645161290322581,0.0167597765363128,-0.00505050505050505,0.0147058823529412,0.00537634408602151,-0.0248447204968944,-0.0114942528735632,0.0128205128205128,0.0140845070422535,0,0,0
239,"05:06 AM",-0.0197368421052632,0.0102040816326531,-0.00645161290322581,0.0111731843575419,-0.0101010101010101,0.0147058823529412,-0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,0,0,0,0.0476190476190476
240,"05:07 AM",-0.0131578947368421,0.0102040816326531,-0.0258064516129032,0,-0.00505050505050505,0.0147058823529412,-0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,0,0,0,0.0476190476190476
241,"05:08 AM",-0.0131578947368421,0.0102040816326531,-0.0258064516129032,0.00558659217877095,-0.00505050505050505,0.0147058823529412,-0.00537634408602151,-0.0248447204968944,0,-0.0128205128205128,0,0,0,0.0476190476190476
242,"05:09 AM",-0.0131578947368421,0.00510204081632653,-0.0193548387096774,0.00558659217877095,-0.0101010101010101,0,-0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,-0.0140845070422535,0,0,0.0476190476190476
243,"05:10 AM",-0.0131578947368421,0.00510204081632653,-0.0193548387096774,0.00558659217877095,-0.00505050505050505,-0.00735294117647059,-0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,-0.0140845070422535,0,0,0.0476190476190476
244,"05:11 AM",-0.0131578947368421,0.00510204081632653,-0.0193548387096774,0.0111731843575419,0,-0.00735294117647059,0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,0,0,0,0
245,"05:12 AM",-0.00657894736842105,0,0,0.0167597765363128,0,-0.00735294117647059,0.00537634408602151,-0.0248447204968944,-0.0114942528735632,-0.0128205128205128,0,0,0,0
246,"05:13 AM",-0.00657894736842105,0,0,0.00558659217877095,-0.00505050505050505,-0.00735294117647059,0.010752688172043,-0.0434782608695652,-0.0114942528735632,-0.0128205128205128,0,0,0,0
247,"05:14 AM",-0.00657894736842105,0.00255102040816327,-0.0129032258064516,0.00558659217877095,0.00505050505050505,0.00735294117647059,0.010752688172043,-0.0496894409937888,-0.0114942528735632,-0.0128205128205128,0.0140845070422535,0,0,0
248,"05:15 AM",-0.00657894736842105,0.00255102040816327,-0.0129032258064516,0.00558659217877095,0.0101010101010101,0.00735294117647059,0.010752688172043,-0.0496894409937888,-0.0114942528735632,0,0.0140845070422535,0,0,0
249,"05:16 AM",-0.00657894736842105,0.00255102040816327,-0.0129032258064516,0,0.0101010101010101,0.00735294117647059,0.00537634408602151,-0.0496894409937888,0,0.0128205128205128,0.0140845070422535,0,0,0
250,"05:17 AM",-0.00657894736842105,0.00255102040816327,-0.0193548387096774,-0.00558659217877095,0.0101010101010101,0.00735294117647059,0.00537634408602151,-0.0496894409937888,0,0.0128205128205128,0.0140845070422535,0,0,0
251,"05:18 AM",-0.00657894736842105,0.00255102040816327,-0.0129032258064516,0.00558659217877095,0.0101010101010101,0.00735294117647059,0,-0.0372670807453416,0,0.0128205128205128,0.0140845070422535,0,0,0
252,"05:19 AM",0,-0.00255102040816327,-0.00645161290322581,0.00558659217877095,0.00505050505050505,0.00735294117647059,0.00537634408602151,-0.0248447204968944,0,0.0128205128205128,0.0140845070422535,0,0,0
253,"05:20 AM",0,-0.00255102040816327,-0.00645161290322581,0.00558659217877095,0,0.00735294117647059,0.00537634408602151,-0.0248447204968944,0.0114942528735632,0.0128205128205128,0.0140845070422535,0,0,0
254,"05:21 AM",0.00657894736842105,0.00255102040816327,0.00645161290322581,0.0167597765363128,-0.0101010101010101,0.00735294117647059,0.010752688172043,-0.0186335403726708,0.0229885057471264,0,0.0140845070422535,-0.0151515151515152,0,0.0476190476190476
255,"05:22 AM",0,0.0076530612244898,-0.0129032258064516,0.0167597765363128,-0.0101010101010101,0.00735294117647059,0.0161290322580645,-0.0186335403726708,0.0229885057471264,0,0.0140845070422535,-0.0151515151515152,0,0.0476190476190476
256,"05:23 AM",0,0.0076530612244898,-0.0193548387096774,0.0111731843575419,-0.0101010101010101,0.00735294117647059,0.0161290322580645,-0.0186335403726708,0.0229885057471264,0,0.0140845070422535,-0.0151515151515152,0,0.0476190476190476
